text,sentiment,original_text
omong langsung unjuk walah akal unjuk sopan atur bikin orang luka rugi orang ya pikir turun jalan jalan macet kerja susah pikir,0,Ad yg ngomong seperty itu langsung demo walah  pd kemana akal kalian itu demo boleh yg penting sopan dan teratur yg gak bikin orang luka atau merugikan orang lain harus y kalin bisa mikir klu turun di jalan pasti jalanan macet yg mau kerja jdi susah ap kaluan mikir seperti itu
unjuk truspusing,0,ini knpa demo trus...pusing kita ini
tanda tanda hancur negara indonesia naik harga minyak goreng,0,tanda2 awal khancuran negara indinesia di awali knaikan harga minyak goreng
suka didik mahasiswa tukang rusak,0,Saya paling tidak suka pendidikannya mahasiswa tp tukang rusak
mahasiswa contoh mahasiswa contoh adik ajar mahasiswa gila tukang rusuh,1,Mahasiswa seharusnya memberi contoh yg baik kalau mahasiswa tidak bisa beri contoh kpda adik2 PELAJAR itu mahadiswa gilaaaa tukang rusuh
sembako normal cabai minyak telur turun kasihan orang,1,Bener masalh sembako harus di normalkn seperti cabe miyak telor hsrud di turunkan kasian kita orang kecl
mang fadil pikir nya begitungomong nya kelompok kelompok kelompok,0,Mang fadil fikiran nya selalu begitu.<br>Ngomong nya selalu Ada kelompok kelompok dan kelompok.😊
mang fadil omong,0,Mang fadil ngomong apa?
suruh joko widodo mundur indonesia aman,0,Suruh makanya jokowi mundur mau indonesia aman
lihat nih kayak tvhingga indonesiaudah serasa india kayak,0,dari sy kecil tahun 80an udah liat nih kaya gini di tv..hingga sekarang masih ada begini di Indonesia..udah serasa seperti di india kayanya..
unjuk sayang joko widodo rakyat indonesia sayang joko widodo bohong ya,0,"Lololo kok pada demo ga sayang apa dengan jokowi cungkring ,katanya seluruh rakyat indonesia sayang jokowi ternyata bohong ya xixixi"
turun masyarakat makmur momentum krisis ulang negeri indonesia,0,"Turun sudah dari masamu yg tidak buat masyarakat ini makmur, dari pada momentum krisis 97 terulang kembali di negri Indonesia ini."
revolusi ricuh kacau lumrah,0,"Di dalam revolusi, kericuhan dan chaos adalah hal yang lumrah"
indonesia merdekatanda merdeka negara nya ricuh daerahindonesia mantap,0,"Indonesia merdeka...,,😀😀😀<br>Tanda kemerdekaan suatu negara ialah berlangsung nya kericuhan di setiap daerah....<br>Indonesia mantap,👍👍👍"
tembak pakai peluru,0,Tembak pake pluru
guru guru mengijinkan orang tua mengijinkandi dunia ramadhanrosululloh nya,0,Apakah guru2 kalian mengijinkan dan orang tua kalian juga mengijinkan.<br>Di dunia ini sementara dan skrng bulan Ramadhan.<br>Rosululloh sering berkata.... Kita semua pasti akan kembali Kepada NYA.
tentara,0,Kok tentara ikut
negara sakarang tertawa negara gak perang dunia negara nya aja perang bangsa nya tuntut benar halang korupsi aja biarquotinsedih liatnyanegara inikapan damai,0,"NEGARA SAKARANG DI TERTAWAKAN NEGARA LAIN KRNA APA...GAK PERLU PERANG DUNIA ,DI NEGARA NYA SENDIRI  AJA SUDAH PERANG    SESAMA BANGSA NYA SNDIRI ,BEGTU MENUNTUT KEBENARAN DI HALANG&quot;IN BGTU KASUS KORUPSI AJA DI BIAR&quot;IN...<br>SEDIH LIATNYA...<br>NEGARA SEKARANG INI..<br>KAPAN BISA DAMAI"
maksud unjuk,0,Maksudnya apa unjuk rasa yg terakhir? Yeeeee
dengar kasihan unjuk,0,Tetep aja gk di dengrin. Kasian yang demo 😔
polisi rakyat berani gilir jabat salah tangkap,0,Polisi kalau.sama rakyat kecil aja berani lu..giliran sama pejabat banyak yang salah boro boro lu tangkap
mundur joko widodo rakyat indonesia derita sadar,0,Mundur Jokowi rakyat Indonesia sudah menderita ..sadar diri
anda katak bhizer dongeng,0,Seandainya katak bhizer ikut ...<br>Tapi cuma hanya dongeng
semangat mahasiswa takut allah sisi amin,1,Semangat para mahasiswa jangan takut ada allah di sisi kalian aminnn.......
rakyat perang lawan aparat negara,0,perlu semua rakyat begitu. ?? <br>perang melawan aparat negara ?
turun anak stm,0,Turunkan anak STM lagi....
tindak arah mahasiswa orang usul periode timbul kericuhanjangan cari kambing hitam,1,"seharusnya yang ditindak tegas jangan hanya ke arah mahasiswa pak.  tapi orang yang mengusulkan<br>3 periode,  karna sudah menimbulkan kericuhan<br>jangan malah mencari kambing hitam"
periode negara pimpin wajah pimpin adil pikir nasib rakyatsemoga polisi dengar suara rakyat mahasiswa penjahatmahasiswa suara rakyat tolong dilindungibukan tembak gas air mata,1,2 periode sudah cukup. sudah sepantasnya negara ini dipimpin wajah baru dan pemimpin yang baru yang lebih tegas adil dan memikirkan nasib rakyat..<br>semoga polisi mendengar suara rakyat. mahasiswa bukan penjahat<br>mahasiswa hanya menyampaikan suara rakyat.. tolong dilindungi<br>bukan ditembaki dengan gas air mata.
unjuk negara demokrasi ya unjuk tangkap,0,Apa ituu kok demo harus di akhir i katanya negara demokrasi ... Ya yg demo malah di tangkaap
akibat harga minyak rakyat gaji nya juta anak rumah kontrak berat,1,"Akibat harga minyak,,,rakyat yg gaji nya 5 juta punya anak tiga ,rumah ngontrak masih berat."
zaman wiwi rusa korupsi begal fitnah tegak hukum abal abal fakta nyata,0,Jaman pak wiwi banyak kerusakan. Korupsi. Begal dan saling memfitnah. Penegak hukum pun banyak yg abal2. Fakta yg sgt nyata.
mundur subsidi minyak bansos minyak rakyat nikmat,1,"mundur aj jokowi,bknya subsidi minyak ,mlah bansos minyak,percuma g smua rkyat mnikmati"
hidup mahasiswa hidup rakyat,1,Hidup mahasiswa hidup rakyat 👍👍
mahasiswa gimana rakyat kutik hidup mahasiswa,1,"Tapi kalaw gak ada mahasiswa gimana,,,rakyat kecil kan tida bisa berkutik...HIDUP MAHASISWA..."
demonstran orang musyrikin,0,Demonstran= orang2 musyrikin
hajar polisi gue intelektual nama intelektual laku demo pikir bro orang tua biaya kuliah biar cepat selesai pikir bijak,0,"Hajar aja pak Police, gue juga seorang intelektual, yg nama intelektual bukan lakukan demo2 nga jelas wuuuuuuuuuuuu mikir bro orang tua kalian  biayaiin kuliah biar cepat selesai berpikir lebih bijak lagi😀"
ya nya ricuh negara denger sentimeter orasi peduli rusuh dengar,0,"Gmna ya,,soal nya kalo ga ricuh di negara kita ini ga bakal di denger,apalagi cm orasi.mana ada yg peduli.harus rusuh dulu baru di dengar."
tembak biar kapok,0,Tembak aja pak biyar pada kapok
mantap mahasiswa juang allah akbar,1,Mantap mahasiswa lanjut kan perjuangan kita Allah hu Akbar
ya minyak turun,0,Kapan ya minyak turun lagi
renung,0,Kenapa hal ini terjadi??? Renungkanlah
berani tangan kosong donkbuka seragam malu seragamkt nya mengayomikenyataannyamemerangi masyarakatbravo massa mahasiswasemoga mahasiswa lindung allah swtsemoga keparat keparat azab,0,klo brani tangan kosong donk<br>Buka seragam malu sm seragam<br>Kt nya mengayomi<br>kenyataannya...memerangi masyarakat<br>Bravo massa n mahasiswa<br>Semoga mahasiswa sllu berada dlm lindungan Allah SWT<br>Semoga keparat2 mendapatkan azab
aparat tindak kasih timah panas biji lubang hidung langsung kocar kacir kocar kacir demo lari birit birik,0,Harusnya aparat bertindak tegas dikasi aja timah panas dua biji ke lubang hidungnya langsung kocar kacir ini para pendemo lari terbirik birik🤣😊🤣
keroyok dukung maha siswa semangat,0,Kroyok trus saya dukung maha siswa semangat trus
ya luhut proses timbul kegaduhantrimkasih teman teman mahasiswa wakil,0,Harus y luhut di proses ne krna sudah menimbil kn kegaduhan...<br>Trimkasih temen&quot; mahasiswa sudah mewakili kami
gara gara orang ribu orang sasar heran,0,"Gara2 beberapa orang, ribuan orang jadi sasaran, heran"
pimpin nya masyarakat masyarakat nya bodoh bikin maju bikin repot masyarakat nya maju zaman joko widodo masyarakat olah tutup mata aneh bin ajaib,0,"Pemimpin nya bermasyarakat TPI masarakat nya yang bodoh,,mau di bikin maju ko malah dibikin repot oleh masarakat nya sendiri,,udah terlihat maju di jaman pa Jokowi kenapa masarakat ko seolah tutup mata aneh bin ajaib woy"
dasar orang indonesia mah bodoh gilir tuntut bangun bagus ala hasil rakyat nya bikin hancur bodoh negara bikin maju bikin hancur aneh,0,"Dasar orang Indonesia mah bodoh&quot;,giliran nuntut bangunan bagus ala hasil rakyat ny sendiri yang bikin hancur,,bodoh memang negara kita ini,,bukan bikin maju tapi di bikin hancur sama kita sendiri aneh memang"
demo segi tuntut dah tahu pola pikir mahasiswa demo apadangkal mikircuma penuh narasi imajinasi prestasi,0,"Demo² gajelas... Dari segi tuntutannya aja dah ketahuan pola pikir mahasiswa (yang berdemo) itu seperti apa....<br>Dangkal... Atau bahkan, gabisa mikir...<br>Cuma penuh narasi dan imajinasi tanpa prestasi...."
mahasiswa cap tikus tampil asal cari muka tolol rendah wawas rusak negara generasi terus,0,"Mahasiswa cap tikus, tampil asal2an hanya cari muka dengan cara yang tak jelas, menunjukan ketololan dan rendah wawasannya, rusak negara ini jika generasi penerusnya seperti ini..."
anarki aparat salah jago main korban,0,Mereka yg anarki tapi aparat yang disalahin emang jago playing victim
bom unjuk biar mati,0,Di bom aja yg demo biar mati
ya ada indonesia negara persis jadi salah,0,"Kenapa ya kalau motogp di adakan di indonesia pasti negara kita seperti ini,sama persis kejadian kalau tdk salah THN 1997"
ketua mahasiswa ya salut organisasi demo besar kota indonesia bersamaankelak wisuda orang hebat milik pimpin bagus pengaruh puluh juta negara keren,0,"Siapa ketua BEM Mahasiswa sekarang y?  Salut padanya,  krn dia bisa mengorganisir Demo besar2an di kota2 besar di indonesia secara bersamaan<br>Kelak jika di wisuda nnti dia jadi orang Hebat krn dia mmliki kepemimpinan yg bagus yg bisa mempengaruhi dari puluhan juta mahasiswa/i di negeri ini.  Keren dia"
adil perintah terjadibulsit,1,Kalau adil pemerintahan nga ga bakal terjadi.bulsit
zaman joko widodo rakyat pecah belah caci makijaman soeharto krisis ekonomi rakyat menyatudi pikir dungu dungu makan citra bantu sosial itutolol pelihara dah indonesia pimpin,0,"Hanya di jaman jokowi rakyat terpecah belah saling caci maki.<br>jaman soeharto meski krisis ekonomi rakyat menyatu.<br><br>di mana pikiran kalian wahai dungu2 cebong yg termakan pencitraan TOL BANSOS apalah itu.<br>Tolol jangan di pelihara amat dah, indonesia tidak baik2 saja di masa kepemimpinan dia."
jaga elegan profesional modern bangun kerjasama aparat aman kawan musuh,0,"Tp kamtibmas harus terjaga gunakan cara2 yang elegan, profesional dan modern, bangun kerjasama dengan aparat keamanan mereka itu kawan bukan musuh."
ya rusuh naik ekonomi masyarakat,1,"Ya gimana ga rusuh semua di naikin , ga melihat ekonomi masyarakat.."
tinggal adu kuat rakyat dukung nya,0,Tinggal adu ke kuatan aja rakyat sama pendukung nya
propinsi unjuk arti nya bangsa pimpin sekutu,0,"Seluruh propinsi demo di mana mana,arti nya bangsa ini udah ga mau lagi di pimpin sama sekutu"
bravo tni polri humanis tembak mati tempat,0,"Bravo TNI-Polri,,kl tak bisa humanis lagi,,Tembak.mati ditempat🤔🤔"
efek gantung pukul rupiah,0,"efek masih jadi ngr ketergantungan , tidak bisa memukul rupiah dg bdik"
rakyak keluh langsung respons tidur melulu,1,Makanya kalo rakyak ada keluhan apa langsung direspon jangan tidur mulu
semangat mahasiswa ubah indonesia,1,Semangat terus para mahasiswa utk perubahan indonesia yg lebih baik
mahasiswa prestasi unjuk sih,0,Mahasiswa berprestasi pada ikutan demo gak sih?
adu domba oknum tanggung,1,Di adu domba oleh oknum yg tak bertanggung jawab.
ngeliat nya ricuh doang tuntut teman mahasiswa juang,1,"Ngeliat nya yang ricuh doang, gak ngeliat apa yang sedang di tuntut temen-temen mahasiswa/i, padahal sedang berjuang buat kita semua"
mahasiswa imbas nya,0,mahasiswa jadi imbas nya...
kaget sih daerah unjuk banyak rusuh,0,"G kaget sih, biasanya didaerah itu kalau demo kebanyakan pasti rusuh"
gue rantau makasaremng gue aku unjuk sana kompak,1,Prnh gua rantau ke makasar.<br>Emng gua akuin demo disna kompak
rusuh pancing air keruh ya polisi dalang rusuh antek pki,0,"Yg Membuat Kerusuhan Memancing di aor Keruh Ya POLISI, Dalang Kerusuhan... Antek PKI"
polisi ya tahan buat onar usul periode andai mulut busuk mahasiswa suara naik bbm langka langka minyak goreng barang pokok,0,Pak polisi yg harus y di tahan pembuat onar yg mengusulkan 3 priode andai tak keluar Dari mulut busuk seseorang... mungkin mahasiswa akan menyuarakan kenaikan BBM kelangkaan pertalit dan kelangkaan minyak goreng dan barang pokok yang terus naik
alih naik butuh hari,1,Jangan 2 ini  cuma  untuk  mengalihkan  kenaikan segala kebutuhan sehari 2
hasil tuntut mahasiswa implementasi aman kendali harap moga mahasiswa demo hilang unjuk,1,"Saya yakin klau hasil tuntutan mahasiswa dijawab dgn baik dan sgera di implementasikan pasti aman terkendali, satu harapan semoga tdk ad mahasiswa/pendemo yg hilang setelah demo ini."
mahasiswa bayar sengaja provokasi noda suci ramadan rakyat cerdas percaya unjuk rusuh mengatasnamakan rakyat moga suka provokasi fitnah adu domba laknat allah amin,0,Mereka mahasiswa bayaran yang sengaja memprovokasi dan menodai bulan suci romadhon rakyat yang cerdas tak akan percaya demo rusuh mengatasnamakan rakyat kecil..semoga mereka yang suka provokasi penfitnah pengadu domba mendapatkan laknat dari Alloh SWT Aamiin
teriak joko widodo garis keras prabowo hina ribut buru buru ganti,0,"Dulu di teriaki jokowi garis keras, prabowo di hina kampret, sekarang ribut sendiri minta buru² ganti hahaha"
unjuk mutu,0,Jelas demo yang tidak bermutu
kayak unjuk damai ricuh manusia suka unjuk manusia senang indonesia damai demo otak manusia suka unjuk penting kelompok bangsa indonesia bayar,1,Gak ada kayanya demo damai. Pasti rico. Manusia suka demo itu manusia yang gak senang indonesia damai. Sekarang kok sedikit sedikit demo. Otak manusia yang suka demo karena kapentinhan kelompok tertentu bukan demi bangsa indonesia tapi demi yang bayar
perang negara,0,Perang dengan negara sendiri💃
polri ayom polri musuh rakyat sejati mati zaman joko widodo amburadul pimpin pecah belah rakyat uud sah rakyat pimpin,0,polri bukan lagi mengayomi tapi polri jadi musuh rakyat sejati sampai mati beginilah d jaman jokowi amuradul inilah pemingpin pemecah belah rakyat biasanya dia menyiapkan UUD d saat sperti ini dan d sahkan tanpa d ketahui rakyat pemingpin apa yg seperti ini??
sia sia sekolah anak anak sekolah gin karya buka gaya gaya mafia olah negara nggak tebus lahan kebun rumah kendara harta milik orang tua gadai jual biaya sekolah nggak mikir perintah pikir orang tua lo pikir habis habis biaya nggak sadar,0,"Ibuk2,bapak2 sia2 kita sekolahin anak2 sekolah tinggi... Kok jadi gini. Bukan berkarya eee malah buka gaya ,nunjukin gaya mafia.. Seolah2 udh memberikan banyak utuk negara... Ngak ketebus lahan..kebun...rumah... Kenderaan dn harta larnya. Milik org tua...yg di gadai kn tsu di jual utuk biaya sekolah.. Jadinya gitu..ngak mikirtu....pemerintahan difikirkan org tua lo yg di fikirkn,udh hbisan2 ngebiayai kaliam semua... Ngak sadar semua..."
unjuk ya layan korban,1,Kalau demo ya dilayani donk agar tak banyak korban
mantap anak muda merdeka,1,"Mantap anak muda, ini yang kita mau, Merdeka!"
aksi anarkis tindak tindak tuh aspirasi positif mahasiswa tindak lanjut aneh,0,Masa aksi anarkis aja yang di tindak lanjuti dan di tindak tegas?. Tuh aspirasi positif dari mahasiswa kok tidak segera di tindak lanjuti? Kan aneh.
introspeksi petinggi bangsa salah luhut hak,1,Introspeksi diri para petinggi bangsa ini diperlukan jangan salahkn pak luhut dia punya hak.
aspirasi konstitusi tentu cepat marah bungkam demokrasi luhut biar jahat selamat,0,Aspirasi boleh saja konstitusi kan yang menentukan jgn cept marah.bungkam demokrasi dan pak luhut biar penjahatnya selamat.
unjuk mahasiswa masif negara krisis gerakin,0,Wkwk kalo demo mahasiswa masif ada 2 kemungkinan Negara ini memang benar2 sedang krisis atau ada yg gerakin🤣🤣🤣
rakyatquotkarya anak bangsademi rakyat binatang relademi rakyat hilang nyawa orang halaldemi rakyat adzan dihiraukandan alas rakyat setan iblis tertawa belenggu,0,"&quot;DEMI RAKYAT&quot;<br>Karya: Anak Bangsa<br><br>Demi rakyat, menjadi binatang pun rela.<br>Demi rakyat, menghilangkan nyawa orang menjadi halal.<br>Demi rakyat, adzan pun dihiraukan.<br>Dan hanya karena alasan demi rakyat, Setan dan iblis pun tertawa dalam belenggunya."
naik negara baca tonton berita banyak game nya deh harga,0,"Ga mau ada kenaikan, buat aja negara sendiri... Makanya banyakin baca dan nonton beritaaa... Jangan kebanyakan game... Jd nya ga tau deh kenapa harga pd naik"
juang rakyat utang negara kian menggunungpemikirkeras,0,"Mereka berjuang buat rakyat ,bukan buat nambah utang negara yg kian menggunung..<a href=""http://www.youtube.com/results?search_query=%23pemikirkeras"">#pemikirkeras</a>"
mbok ya gagal urus bangsa rakyat percaya sifat kstaria muncul mending turun kasihan rakyat tengah miskin miskin bahan pokok mahal dunia kerja buruh nama gaji umr rugi uu omnibus hukum sulit mahgentle kayak harto top rakyat gak percaya tumpah darah mending mundur,1,"Mbo ya kalo udah tau gagal ngurus bangsa , rakyat tidak percaya , sifat kstaria harusnya muncul mending turunn , kasian rakyat menengah kebawah yg miskin tambah miskin ,, cuma apa apa bahan pokok mahal tapi dalam dunia kerja buruh tidak pernah namnya naek gaji , UMR pun naek rdk sbrapa, Dirugikan lagi dengan Uu omnibus Law hadeh riweuh Konoha mah.<br><br>GENTLE  KAYA PAK HARTO dlu malah top RAKYAT DAH GAPERCAYA, DRPDA ADA PERTUMPAHAN DARAH mendingMUNDURR"
kocak tembak gas air mata kucar kocar kacir,0,Kocag ditembak  gas aer mata pada kucar kacir
banyak unjuk polisi mana wakil rakyat wakil suara rakyat polisi luka korban wakil rakyat tanggung,0,Kebayakan   demo   yg   di dpn   polisi    kemama   wakil   Rakyat yg mewakili   suara Rakyat <br>Polisi   yg  trluka   =   korban  dari   wakil   Rakyat yg kurang brtanggung jwb
ricuh unjuk hadir aparat mahasiswa ricuh logika,0,"Ricuh terjadi saat demo itu karena kehadiran aparat tsb . Mana ada sesama mahasiswa ricuh . <a href=""http://www.youtube.com/results?search_query=%23logika"">#logika</a>"
orang senang ya unjuk unjuk bohong orang suruh,0,"Orang kok  seneng ya kok demo wae setelah km demo ngak akan mendapatkan apa,,lur cuma km di bohongi sama orang yg menyuruh mu 😂😂😂"
dpr mulut tutup amplop kutik tindak periode tunda milu pancing dpr tanggap aspirasi rakyat wajar mahasiswa rakyat amuk,0,"DPR mulutx semua ditutup dgn amplop...dan TDK berkutik.....dlm mnindak 3 perode dan pnundaan pemilu....ygmmancing...DPR TDK pernah mnanggapi aspirasi rrakyat.,.jd wajar ..bila mahasiswa dan rakyat mengamuk..."
akibat ambisi jabat umur hidup tikus,0,Akibat ambisi jabatan seumur hidup para tikus
bakar kantor dprksiannya rakyat tipu bodoh jajah perintah nya sndirimnding nama perintah pimpin perintah jajah rakyat nya,0,bkar aja tu kntor DPR..<br>ksiannya rakyat kcil ditipu dibhongi di jajah pmerintahn nya sndiri..<br>mnding ga usah ada lgi yg nmanya pmerintah itu lbih baik dri pda punya pmimpin pmerintah yg menjajah rakyat nya sndiri...
demo dewasa n cerdas hti fpi radikalisme,0,KALAU DEMO YANG DEWASA N CERDAS.. HTI FPI RADIKALISME.
terus bangsa kayakanak,0,Penerus bangsa kok kayak<br>Anak kecil
tiru mahasiswa hebat gilir aparat brutal kocar kacir kocar kacir,0,Janganh di tiru mahasiswa yg beginian...awalnya merasa hebat...giliran aparat brutal kocar kacir lu pada..!!!
tukang krtuk palu sufni dascotetapi punag maharani hadir puang mesin ketuk palu kau fadil tunggu azab anak bangsa km cikampek luka kiamat hilangfadillkau manusia biasaingat karma laku,0,"TUKANG KRTUK PALU BUKAN SUFNI DASCO...<br>TETAPI <a href=""http://www.youtube.com/results?search_query=%23punag"">#PUNAG</a> MAHARANI#<br>     HADIRKAN PUANG ASAL JANGAN MSIN KETUK  PALU<br>       KAU FADIL....TUNGGU AZABMU...AKAN TIBA..6 ANAK BANGSA  KM 50 TOL CIKAMPEK LUKANYA SAMPAI KIAMAT TIDAK AKAN HILANG.<br>FADILL...<br>KAU JUGA MANUSIA BIASA..<br>INGAT ITU....KARMA PASTI BERLAKU."
ajha gilaran calon periode mah masyarakat tolak mah curang suara,0,"Tetap ajha,, nnti gilaran nyalon 3priode mah jadi lagi <br>Padahal jelas masyarakat menolak tp nnti mah jadi lagi <br>Dari sini ajha udh ke curangan suara dari mana"
mending turun joko widodo rakyat korban,0,Mendingan turun bpk jokowi daripada rakyat jadi korban tambah banyak
kayak mahasiswa itw dialog dngan masyarakt kayak kali dukung mahasiswa masyarakat kali pilih pimpin itwcontoh bukti,0,Maunya kyk mahasiswa itw hendaklah berdialog dngan masyarakt dlu kyk ap maunya dlu....kan smua x mendukung bkan mahasiswa aj...masyarkat x memilih pemimpin itw...contoh dlu dh terbukti....
sulit lawan bangsa dripada lawan penjajahcontoh perang lawan bangsa menang juang menang dngan,0,Emang sulit melawan bangsa sndiri dripada melawan penjajah...contoh seperti skrng....perang melawan bangsa sndir....Indonesia menangis kl gni n para pejuang dlu bsa menangis dngan keadaan in
knpa unjuk puas hati kah saudarakuap smpi rusak kantor mikirkh rugi,0,Knpa kl GK demo GK puas hati kah kalian saudaraku....ap lagi smpi merusak smua perkantoran....ap GK mikirkh ad kerugian....
stop dana kampus bikin onar rusuh dasar mahasiswa ipk rendah moral rendah kotor puasa,1,"Stop dana untuk kampus yg bikin onar dan Rusuh <br>dasar mahasiswa ber ipk rendah, makanya jangan bermoral rendah... <br>Mengotori bulan puasa saja"
demo,0,Demo yg ngga jelas...
coba sambut anarkis aneh polisi ajak ribut,1,Coba di sambut dgn baik gak akan anargis tapi aneh polisi kok mau ngajak ribut
dukung mahasiswa,1,Kami dukung mahsiswa
demo mahasiswa bencana rekan percaya jabat ideal bukti jabat loyo,0,Demo mahasiswa itu mendatangkan bencana bagi rekan yg lain .....sy tidak percaya setelah jadi pejabat  nanti seideal itu ..sudah terbukti dari waktu ke waktu ..waktu jadi pejabat loyo..
lupa suci ramadhan jalan demo sungguh malu,0,dh lupa ini hari suci rhomadon...malah menjalankan demo....ap gk ad hari/ bulan yg lain....sungguh memalukan.
lindung mahasiswa kakak kakak cinta,1,Lindungilah mahasiswa Kaka2 kami tercinta 😭😭😭
