text,sentiment,original_text
maju mahasiswaburuhtanirakyat indonesiahidup rakyat indonesia,1,"Maju terus mahasiswa,buruh,tani,rakyat seluruh Indonesia,,,hidup rakyat Indonesia"
polri alat oknum polisi pukul keroyok rakyat demo sasar kredibilitas citra polisi buruk jahat seragam,1,Polisi jadi alat.. banyak oknom polisi yang memukuli mengeroyok rakyat yang tidak ikut demo juga jadi sasaran... kredibilitas dan citra polisi sangat buruk.. penjahat berseragam
hoaks benar,1,Kenapa HOAKS selalu jadi pembenaran???
demo rusak fasilitas anarkis rusak pulau komodo pembangunanlucu nya negeri,0,"Pendemo merusak fasilitas di sebut anarkis, mereka yang merusak pulau komodo di sebut pembangunan.<br><br><br><br><br>Lucu nya negri ku"
semangat rakyat indonesia,1,Semangat rakyat Indonesia...💪
darah rakyat rugi rakyat korban rakyat bodoh perintah lihat kerja orang perintah tidur polisi korban manusia lenceng ya maklum nama manusia rakyat diam usaha niat perintah pintar sih sekolah pejabatnanti tindak salah diam perintah butuh rakyat suara milu lai tuju capai,1,"Ada yang berdarah Tapi bukan rakyat, ada yang di rugikan tapi bukan rakyat, ada yang berkorban tapi bukan rakyat, ada yang bodoh tapi bukan pemerintah. Makanya lihat kerjanya orang pemerintah kurang tidur, polisi jadi korban. Mereka juga manusia. Kalo ada yang  melenceng sedikit ya maklumi namanya juga manusia. Rakyat diam saja, lagi di usahakan, ini niat baik pemerintah. Pada tidak pinter sih makanya sekolah kaya para pejabat.<br>nanti di tindak tegas jadi menyalahkan ini itu lah. Diam saja yang pemerintah butuhkan dari rakyat hanya Suaranya saja waktu pemilu setelah itu yang lainya tidak. Apalagi kalau tujuan sudah tercapai. Hahahhahahahaa"
nama brutalapa toleransikebanyakan hoaks bahas,1,Namanya brutal...apa yang di toleransi...kebanyakan hoaks di bahas...
aktivis mahasiswa hasil tumbang orde mahasiswa gagal batal atur undang undang gagal mahasiswa juang pribadi kelompok penting juta rakyat indonesia,1,Aktivis mahasiswa 98 berhasil menumbangkan orde baru. Mahasiswa sekarang selalu gagal membatalkan peraturan perundang undangan selalu gagal karena karena mahasiswa sekarang memperjuangkan pribadi dan kelompok  bukan Kepentingan seluruh 270 juta rakyat Indonesia
omong,1,Omong doang
kasihan mahasiswa mahasiswi alat politik manusia manusia selamat harta hasil jarah uang negara uang rakyat hasil kaya alam proyek abadi jalan panrura proyek proyek mangkrak contoh hotman paris melek hukum pikir waras baca cermat saksama isi undang undang omnibus hukum ragu ketidakcocokan maju adu yudisial tinjau mk,0,"Kasihan mahasiswa atau mahasiswi dijadikan alat politik. oleh manusia-manusia yang ingin menyelamatkan harta hasil penjarahan uang negara, uang rakyat, hasil kekayaan alam, proyek abadi jalan panrura, proyek-proyek mangkrak dan lain sebagainya. Contohlah Hotman Paris yang melek hukum dan berpikir waras dengan membaca dulu secara cermat dan saksama isi UU Omnibus Law. Ada keraguan dan ketidakcocokkan maju mengadu dan minta judicial review ke MK."
kilas saat kuasa anak emas salah angkat bangsa akrab salah negara moga sejarah ulang batas khawatir belakaquot quotaminquot,0,"Kilas balik Tahun 65...disaat itu, penguasa amat menganak emaskan salah satu angkatan. Kebetulan juga Bangsa ini sangat akrab dengan salah satu negara luar. Semoga saja, sejarah tidak akan terulang hanya sbtas kekhawatiran belaka&quot; .... &quot;Amin&quot;"
sabar ya moga tabah doa baik saudara sana semangat ya saudara moga lindung azab zalim perintah,1,sabar ya semoga kalian tabah. kami mendoakan yang terbaik buat kalian saudara disana. tetap semangat terus ya saudara. semoga kalian dilindung dari azab dizalimi pemerintah.
asa rusak harta benda masyarakat polisi lemah maju tangkap orang rusuh serang banting polisi senjata takut rusuh dengar takut,1,"Kalau mau tunjukkan perasaan sekali jangan rusakkan harta benda masyarakat, polisi kenapa lemah ?. Kenapa tak maju terus tangkap orang-orang rusuh serang terus tak mau untuk bantingnya.. polisikan ada senjata kalau tidak gunakan untuk takutkan mereka bagaimana perusuh itu mau dengar tidak takut lah mereka"
pisah indonesia orang aceh bilang tiada jalan indonesia maju,1,Pantas banyak yang mau pisah dari indonesia. Orang aceh bilang tiada jalan indonesia untuk maju.
allah maha,1,ALLAH MAHA TAHU
orang orang demo bodohjelas jokowi bilang silah aju mk demo sajabosannn,1,Orang-orang demo yang bodoh...jelas-jelas pak jokowi bilang kalau ada yang kurang jelas silahkan ajukan ke MK...jangan taunya demo-demo saja...bosannn.....
hidup jokowitegakkan uu cipta kerja pakorang orang demo orang hasut iblis sakit hati sistem perintah jokowi,1,Hidup jokowi....tegakkan saja uu ciptaker pak....orang-orang demo itu hanya orang-orang yang termakan hasutan iblis yang sakit hati terhadap sistem pemerintahan jokowi....
tangkap anarkis dengar bacot sih kakak nya,0,Tangkap saja yang anarkis tidak usah dengar bacotan si mbak nya itu
perintah rakyat rusuh,0,Pemerintah tidak mau menjelaskan malah membuat rakyat rusuh 
lihat oteriternya jokowi ya,0,Kok terlihat oteriternya pak jokowi di sini ya
gue saksi aparat polisi brutal alami sendirisemoga polisi brutal balas timpal,1,"Gue saksi bahwa aparat polisi memang brutal dan saya mengalami sendiri,semoga saja polisi yang brutal dapat balasan yang setimpal"
ya allah pandang presiden kosong,0,ya allah kenapa pandangan presiden kok kosong...
demo anrakis layak hajar,0,Pendemo anrakis layak dihajar
polisi keras tidakpanjang umur,0,Kalau polisi bisa keras kenapa kita tidak<br>Panjang umur hal-hal baik
dpr tuh lihat rusa tuh dpr lihat tuh pakai mata,0,DPR Tuh lihat banyak kerusakan tuh bagaimana nih DPR lihat tuh pakai mata kamu
perintah lupa gaji pajak sok bayar pajak aji siksa sengsara indonesia,0,Pemerintah lupa dengan apa yang dia dapat anda gaji dari pajak jangan sok benar ... Dan kami yang selalu membayar pajak untuk mengaji anda bukan anda menyiksa dan membuat sengsara Indonesia
hoaks realistis halaman berubahquot batas batas gaji henti mahfud md harap objektif perintah aju mahkamah konstitusi sia siaquot objektif lemah,0,"Bukan HOAKS tapi memang tidak realiatis halaman yg berubah&quot; batas bawah jadi batas atas gaji, pemberhentian bisa seenaknya. Pak Mahfud MD harap obyektif sebagaimana biasanya waktu diluar pemerintahan. Mengajukan ke MK sia-sia&quot; mereka sudah tidak obyektif dilemahkan."
polri gila guru mahasiswa,0,Polisi gila sampai dipukulin guru mahasiswa
tangkap,0,tangkap saja Pak...
oh laku asli polisi,1,Oh ini kelakuan asli polisi 🤦‍♂️
mahasiswa mahasiswi harus panutan masyarakat smart,0,Para mahasiswa dan mahasiswi hendaknya menjadi panutan masyarakat dan harus SMART.
demo anarkiswow pura pura dalang anarkis minberani bongkar dalang anarkis demo undang undang cilaka kemarin,1,"Demo anarkis?.<br><br>Wow, jangan pura-pura tidak tahu dalang anarkisnya min..<br><br>Berani tidak kalian membongkar dalang anarkis di demo UU Cilaka kemarin?."
bbc berita tampil berita media salah demonstran,0,"Cuma bbc news yg menampilkan berita seperti ini, di media lain biasanya yang disalakan para demonstran terus😪"
moga demo murni damai tuntutanya penuh dewan wakil rakyat demo anarkis moga hidayah allah swt demo anarkis rugi masyarakat polri moga selamat tugas amin ya robb media bbc mohon berita berimbangcoba lihat rusa akibat demo anarkis coba lihat aparat lempar bom molotov coba lihat aparat lempar kotor manusia tabayun gara gara berita mempertanggungjawabkan dunia akhirat kelak hisab allah moga indonesia damai hidup desa udara segar sawah air alir jernih udara sejuk salaing bantu bantu tetangga jadi uang nomor tolong tolong,1,"sEMOGA  Demo Yg murni Damai tuntutanya di penuhi DPR, dan Demo yg Anarkis semoga diberikan Hidayah sama Allah SWT.... sehingga demo anarkis tidak terjadi lagi... karena sangat merugikan masyarakat... untuk Pak Polisi semoga diberikan keselamatan dalam bertugas... Amin Ya Robb.... untuk media BBC Mohon dalam pemberitaanya berimbang.Coba dilihat juga kerusakan yang diakibatkan oleh demo yg anarkis.. coba lihat aparat yang dilempar bom molotof.. coba lihat aparat yang dilempar dengan kotoran manusia.. dan lainnya..... harus tabayaun dulu.... jangan sampai gara-gara berita seperti ini ANDA akan mempertanggungjawabkan di dunia dan akhirat kelak... dan dihisab sama Alloh lama sekali..... SEMOGA INDONESIA DAMAI SELALU.... SEPERTI HIDUP DI DESA... UDARA SEGAR BANYAK SESAWAHAN AIRNYA MENGALIR JERNIH... UDARA SEJUK... SALAING BANTU MEMBANTU SESAMA TETANGGA.. TIDAK MENJADIKAN UANG NOMoR 1 DALAM TOLONG MENOLONG....."
quotsemangat rakyat indonesiaquot quotsaya cinta indonesiaquot,1,&quot;SEMANGAT RAKYAT INDONESIA&quot;  <br><br>&quot;SAYA CINTA INDONESIA&quot;
terimakasih presiden bangga bijak perintah,0,Terimakasih bapak presiden kami bangga terhadap kebijakan pemerintah
polisi bela rakyat salah bela bela bela salah,1,Katanya polisi itu pembela rakyat. Lah ini kok malah yang salah yang dibela. Harusnya bela yg benar bukan malah bela yang salah!!
polri caci maki polri setia layan masyarakat kena musibah begal rampok bantai urus skck calon kerja,0,"POLRI SERING DI CACI MAKI,  NAMUN POLRI TETAP SETIA MELAYANI MASYARAKAT  YANG KENA MUSIBAH BEGAL, RAMPOK, KASUS PEMBANTAIAN, MAUPUN YANG MENGURUS SKCK CALON PEKERJA."
negara merdeka watak polisi kayak polisi belanda jajah,1,"di negara merdeka watak polisinya kayak polisi Belanda, penjajah"
maaf kecewa percaya,1,Maaf pak kami sudah kecewa dan tidak percaya kalian
thailand monarki brutal negara demokrasi gampang umbar gas air mata,0,"di thailand yang monarki tidak sebrutal itu, ini negara demokrasi gampang banget mengumbar gas air mata."
tragedi moga ulang ya teman teman,1,TRAGEDI 1998 SEMOGA TIDAK TERULANG YA TEMAN TEMAN.
suka bohong bicara percaya rakyat,0,"Makanya jangan suka bohong, sekalinya bicara benar, tidak akan dipercaya sama rakyat."
demokrasi kaleng kaleng,1,Demokrasi kaleng-kaleng
disinformasi draf tutup,0,"kalau ada disinformasi disampaikan yang benarnya dong pak, draftnya ditunjukkan, jangan seperti ditutup-tutupi"
ayo polri bantai anarkis buta tuli hancur harta rakyat,0,Ayo! Polisi bantai para anarkis yang membuta tuli menghancurkan harta rakyat.
demo silah anarkis dongkita masyarakat kesal anarkiskita dagang sepitidak salah polisi anarkis mahasiswa demo campur provokatortidak bedanyaanarkis merugikantidak keren,0,Mau demo silahkan tapi jangan ANARKIS dong..kita masyarakat juga kesal kalau anarkis..kita yang dagang sepi..tidak menyalahkan pak polisi lah memang anarkis mahasiswa demo campur provokator..tidak ada bedanya..anarkis merugikan..tidak keren sekali
tindas baca undang undang,1,siapa yang menindas kalian baca tidak undang-undangnya
orang anarkis lempar polisi batu bom molotov bawa polisi diam polisi manusia biar lempar batu api bom molotov bawa bajing,1,"pukul saja orang anarkis, kok kalian lempar polisi dengan batu dan bom molotov kalian bawa, masa polisi harus diam saja polisi juga manusia biar kamu rasakan bagaimana rasanya dilempar batu dan api dari bom molotov yang kalian bawa bajingan kamu"
adil sosial kalang dpr polisi hahahaa lucu negeri,1,KEADILAN SOSIAL BAGI KALANGAN ATAS DPR DAN KEPOLISIAN HAHAHAA LUCU SEKALI NEGERI INI
berita,0,Berita tidak jelas....
brutal,0,Yang brutal siapa.....
demo kasar ya polisi pancing mending gebuk tembak,1,Kalau pendemo tidak kasar ya tidak mungkin polisi terpancing. Masih mending digebukin kalau di tembak bagaimana
mahasiswa pandemi mati omnibus hukum mati depankalau benarpemerintah bilang hoaks,0,"Betul mahasiswa itu ...pandemi mematikan sekarang, omnibus law mematikan masa depan.<br>Kalau benar...pemerintah bilangnya HOAX"
tangkap biang rusuh sampah masyarakat,0,tangkap biang rusuh dan sampah masyarakat ini.
ya polri gebuk demo anarkis tangkap,1,Benar.. memang boleh ya.. Polisi gebukin.. Pendemo yang anarkis.. Padahal sudah ditangkap
fakta jokowi bicara sesuai nyata nama hoaks super,1,Faktanya Jokowi bicara tidak sesuai kenyataan itu namanya hoaks super besar
hidup mahasiswa,0,Hidup mahasiswa
bungkam tindak kasarmaka anarkisdan hancur kota,1,"Semakin kalian membungkam, semakin kalian bertindak kasar.maka kami bisa lebih anarkis,dan bisa menghancurkan kota"
brutal asa brutal,0,Masalah brutal Saya rasa sama-sama brutal. 😂😂
tuju sih polisi lulus akademi tes jiwa lindung masyarakat polisi lulus uang tuju suka tuju silah komentar,0,setuju tidak sih kalau polisi yang benar-benar lulus dari akademi dan tes lebih punya jiwa melindungi masyarakat daripada polisi yang lulusan karena ada uang ???<br>( yang setuju sukai yang tidak setuju silahkan komentar )
yakinsebagian unjuk asa perjuangkansehingga demo,1,Saya yakin...sebagian besar dari pengunjuk rasa ini sebenarnya tidak tahu apa sebenarnya yang dia perjuangkan...sehingga ikut demo.
polisi berani pakai senjata berani tangan kosong pakai tameng,0,Apaan ini polisi beraninya pakai senjata kalau berani tangan kosong jangan pakai tameng
cermin hukum negera tajam tumpul,0,"Inilah cerminan HUKUM di Negara kita, tajam ke bawah tumpul ke atas"
rakyat temu wakil bawa aspirasidihalangi tameng polisi rakyat bingungtameng tembus buka ucap salam permisigedung dewan wakil rakyat milik rakyatingin masuk hak rakyat gedung rakyat kuasa wakil rakyat emban aspirasi rakyat lindung tameng polisi kokoh polisi bimbang tugas jaga rakyat gusar cap anarkis,0,"Rakyat ingin menemui wakilnya dengan membawa aspirasi....dihalangi tameng polisi ! Rakyat bingung....tameng tidak bisa ditembus dan dibuka dengan mengucap salam dan permisi...gedung dpr milik rakyat....ingin masuk itu hak rakyat, gedung rakyat dikuasai wakil rakyat yang tidak mau mengemban aspirasi rakyat dengan berlindung tameng polisi yg kokoh, polisi bimbang sudah tugasnya menjaga dan rakyat gusar di cap anarkis,"
polri tindak banget brutal polisi gaji pajak orang aniyaya tolong pikir jernih polisi rakyat demo perintah laku adil jujur suritauladan rakyat,0,"Polisi tindakannya sudah kebangetan brutal, padahal mereka (para polisi) dapat gaji bisa saja dari pajak  orang yang dianiyaya. Tolong berpikir jernih bapak polisi, rakyat tidak akan demo kalau pemerintah berlaku adil, jujur dan JADI SURITAULADAN RAKYAT."
kacau gorong gorong,0,kekacauan ini semua berawal dari gorong-gorong😡😠
polisi profesional laku brutal pecat penjara,0,bukan polisi profesional yang berlaku brutal lebih baik dipecat dan dipenjarakan.
sih jokowi hoaks edar media sosial uud cipta kerja uud ketengakerjaan ubah katanyadan badan legislatif ubah draf ringkaskenapa ubah pas serah sih jokowikenapa kemarin koreksi isi aduhpada kerja sih bahasa indonesia sih badan legislatif dewan wakil rakyat,0,"Kata si jokowi banyak hoaks yang beredar di medsos!!! kalau semua uud cipta kerja  kembali ke uud tahun 2003 soal ketengakerjaan terus buat apa dibuat dan diubah-ubah kata-katanya,dan badan legislatif hari ini mengubah draf dan kata-kata menjadi lebih ringkas,kenapa baru sekarang diubah lagi pas mau diserahkan ke si jokowi,kenapa tidak dari kemarin-kemarin dikoreksi itu isinya???? aduh...pada bisa kerja tidak sih? Pada bisa bahasa indonesia tidak si badan legislatif dan dpr ini?"
uu tersebutjokowimemperhalus sajabohonghantam,0,Terus untuk apa uu tersebut..jokowi.memperhalus kata saja..bohong..hantam terus
polisi brutal,0,polisi brutal
parah,0,Lebih parah dari 98
polisi brtual ya massa brutalanggota bilang kena hoakskalau hoakscoba jabar isi uudnyaanggotanya perintah sembunyi polisi republik indonesia tni,1,"POLISI BRTUAL YA MASSA IKUT BRUTAL,,,anggota bilang masa kena hoaks,,,kalau memang hoaks,coba jabarkan isi uudnya,,anggotanya atau pemerintah jangan bersembunyi dibalik polri dan TNI,,,,"
polisi negeri inirata jahat,0,Itulah polisi di negeri ini...RATA-rata JAHAT SEMUA......
negara demokrasi,1,Ini negara demokrasi kan???
hajar,0,Hajar pak
mahkamah konstitusi alat perintah,1,MK adalah alat pemerintahan
selamat juang mahasiswa buruh,1,Selamat berjuang mahasiswa dan buruh
tembak peluru tajam sih laku demo anarkis perintah,0,"Kenapa tidak ditembak peluru tajam sih pelaku-pelaku demo anarkis, pemerintah sangat tidak tegas."
akhlak perintah ruu binasa rakyat sendri,1,"Begini lah akhlak pemerintah kita, dibuat RUU, untuk membinasakan rakyat sendri."
jokowi jahat preman,0,TERNYATA JOKOWI LEBIH JAHAT DARI PREMAN.
wibawa perintah mata rakyat menang pahlawan indonesia junjung pancasila jalan pimpin negara perintah,1,Semakin tidak ada wibawa pemerintah dimata rakyatnya sendiri. menangis para pahlawan indonesia yang menjunjung tinggi pancasila dan 1945 tidak benar-benar dijalankan para pemimpin negara serta pemerintahan .
undang undang dpr dongtidur ruang kerja gaji potong korupsi penjara umur hiduptidak masuk dinas langsung pecat,1,bikin undang-undang buat DPR juga dong..<br>tidur di ruang kerja gaji dipotong 50%.<br>korupsi penjara seumur hidup.<br>tidak masuk dinas langsung pecat..
hajar konsekuensi juang indah capai semangat anarkis polisi buruh manusia emosi senyum,0,"Dipukul, dihajar.. Itu sebuah konsekuensi perjuangan.. Semua terasa indah saat tercapai.. Tetap semangat... Jangan anarkis, polisi juga sama-sama buruh sama-sama manusia yang punya emosi.. Tetap tersenyum.. 😂"
semangat polisi laku takut allah lindung amin ya,1,"Tetap semangat pak polisi, apa yang kamu lakukan hari ini dan nantinya, itu sudah benar. Jangan takut. Allah swt, selalu melindungi. Amin ya robbi."
brutal polisi brutal anarkis sok hebat ribut anarkis salah orang polri manusia demo anarkis tindak,0,"Yang brutal bukan polisi, tapi kalianlah yang brutal. Makanya jangan anarkis. Sok hebat kalian. Yang ribut dirimu dan anarkis, yang disalahkan orang. Polisi juga manusia sama sama kalian semua. Makanya demo jangan anarkis kok tidak mau ditindak."
lihat palestina lawan israel,1,lihatnya juga sudah seperti palestina lawan israel😪
mau diturutin kontrak negara,0,MAUNYA HARUS DITURUTIN . MERASA SEPERTI MENGONTRAK DI NEGARA SENDIRI 😊😊😊
lapor mahkamah konstitusipilpres curang digugatapa undang undang sah jokowisudah percaya sayawakil rakyat negeri tuhan takutdgugat menang mk,0,"Laporkan ke MAHKAMAH KONSTITUSI...???<br>PILPRES yang curang saja tidak bisa digugat,apa lagi undang-undang yang disahkan oleh Jokowi...<br>Sudah tidak percaya saya,wakil rakyat negeri ini sama TUHAN saja tidak takut...<br>Dgugat tidak bakal menang di MK... PERCUMA"
profesional,0,Tidak profesional
cerdas mahasiswajangan mudah terprovokasikok mau diperalatoleh kelompok kepentinganapalagi anak anak sltahaduhharusnya sekolah demokelihatan bodoh nya,1,"Cerdaslah para mahasiswa...jangan mudah terprovokasi...kok mau-maunya diperalat...oleh kelompok yang punya kepentingan...apalagi anak-anak SLTA....haduh...harusnya sekolah, kok malah demo...kelihatan bodoh nya"
cubit cubit,1,Kalau gak mau dicubit jangan mencubit.
miris indonesia rakyat turun tangan tegak adil aparat budak kilas lihat remaja tawur petinggi duduk manis nikmat cangkir kopi senyum manis rakyat adu domba,1,"mirisnya indonesiaku ,rakyat turun tangan demi menegakkan apa itu keadilan dengan aparat yang telah diperbudak, sekilas terlihat seperti remaja sedang tawuran. sedangkan para petinggi duduk manis sambil menikmati secangkir kopi sambil senyum-senyum manis melihat rakyatnya yang telah diadu domba."
butuh pimpin turun langsung temu demo diam suruh polisi usir demo indonesia negara demokrasi komunis,0,"DARI DULU MEMANG BEGITU, YANG DIBUTUHKAN ITU PEMIMPIN TURUN LANGSUNG MENEMUI PARA PENDEMO JANGAN MALAH DIAM MENYURUH POLISI MENGUSIR PARA PENDEMO, INDONESIA BUKAN LAGI NEGARA DEMOKRASI TAPI KOMUNIS"
bilang jokowi sebar hoaksbayaran,0,Yang bilang pak jokowi penyebar hoaks....bayaran
presiden bicara acu ya draf uu kasih fixjadi hoaks,1,Pak presiden bisa bicara begitu acuannya dari mana ya? Kan draf UUnya saja belum dikasih dan belum fix<br><br>Jadi yang disampaikan itu hoax juga dong
kuat pecah belah indonesia media asing bb indonesia tampil berita provokatif mohon sadar saudara bangsa kuat asing indonesia maju,0,"Inilah kekuatan yang ingin memecah belah indonesia, media asing... BB# New# Indonesia, menampilkan berita yg provokatif, mohon sadarlah wahai saudara sebangsa, ada kekuatan asing yang tidak mau Indonesia maju.."
orang binatang bawa,0,Itu orang bukan binatang itu yang kalian bawa itu
ucap provokator polisi tugas aman orang anarkis kasihan polisi salah,1,"Kamu, omongan kamu sangat provokator polisi sudah tugasnya mengamankan orang-orang anarkis kasihan polisi selalu di salahkan"
arogansi,1,Arogansi
moga allah tolong negeri pecah kemungkarankebodohan sejati munafik hakiki amin ya allah,0,"Semoga allah tolong negeri ini dari perpecahan, kemungkaran,kebodohan sejati dan kemunafikan hakiki.. amin ya Allah"
sih susah demo langsung musyawarah mahasiswa dpr diskusi enak salah paham kesalahpahaman undang undang cipta kerja,1,Apa sih susahnya waktu demo Langsung musyawarah antara mahasiswa dengan pihak DPR...  Kalau dari awal sudah diskusi kan enak tidak mungkin terjadi salah paham kalau memang ada kesalahpahaman dalam undang undang cipta kerja
orang non muslim khusus kristen tindas tuhan yesus salib bawa berkat,0,Tapi mungkin orang non muslim khususnya kristen tidak merasa tertindas karena selalu bersama-sama dengan tuhan yesus yang disalib itu! Yang membawa berkat bagi mereka!!!
demo lanjut,0,Demo masih berlanjut
mahasiswa zaman pintar mudah hasut hoaks percaya hoaks baca paham isi undang undang omnibus hukum demo bicara ngawur paham undang undang omnimbus hukum alas demo,1,Mahasiswa zaman sekarang kurang pintar... mudah terhasut  hoax dan lebih percaya hoax daripada baca dan pahami isi UU omnimbus law itu sendiri sebelum demo.... kemudian kalau bicara ngawur karena tidak paham UU Omnimbus law yang jadi alasan demo....🙈🙈🙈
sadar jabat jabat dukung negara kondusif sinergi rakyat perintah,0,"Sadar dirilah, untuk apa jabatan, jika yang memberi jabatan sudah tidak mau mendukung. <br><br>Adanya negara yang kondusif itukan karena sinergi rakyat dan pemerintah."
rancang ubah ubah menghindaraduhpak,0,kenapa rancangan ini sering berubah-ubah karena agar bisa menghindar...aduh...pak
damai indonesia moga cepat selesai,0,"Damai Indonesiaku, semoga masalah ini cepat terselesaikan"
jokowi sibuk wujud adil sosial rakyat indonesiaindonesia jakarta pulau jawa sajauu cipta kerja untung usaha buruh organisasi buruhbaca utuh undang undang cipta kerjajangan mudah adu domba anak bangsasalam damai,0,Jokowi sibuk mewujudkan keadilan sosial bagi seluruh rakyat Indonesia...<br><br>Indonesia bukan hanya Jakarta dan pulau Jawa saja...<br><br>UU cipta kerja menguntungkan Pengusaha dan buruh tidak untuk organisasi buruh...<br><br>Baca secara utuh UU cipta kerja...<br>Jangan mudah diadu domba sesama anak bangsa...<br><br>Salam damai
lempar botol lempar gas air mata,0,Kami melempar botol mereka melempar gas air mata
bunuh masyarakat mahfud,0,Bunuh saja masyarakat pak mahfud
tembak polisi senjata,0,"Tembak saja pak polisi, untuk apa juga senjata."
masyarakat marah mprmemang mpr anjingkita adu domba polisi anggota dewan wakil rakyat nyalibiacara demodasar dewan wakil rakyat pengecutdpr dewan pengianat rakyat,0,Bagaimana masyarakat marah dengan mpr..memang mpr anjing..kita sama saja diadu domba dengan polisi..kalau anggota dpr punya nyali..biacara pada saat demo..dasar dpr pengecut..DPR ( Dewan pengianat Rakyat )
ya bunuh,0,Ya jangan sampai membunuh
hukum anarkis,0,kalian bikin hukum anarkis
protokol perempuan polisi wajar tindak demo undang undang ikut,1,"Yang protokol perempuan itu tahu apa, polisi wajar bertindak, karena pendemo banyak yang tidak tahu undang-undang asal ikut-ikutan saja"
polri maju mahasiswa semena mena aspirasi gaduh,0,"Polisi maju terus, mahasiswa jangan semena-mena juga, aspirasi kalian jangan malah buat gaduh,"
jual gedung dpr,1,Jual saja Gedung DPR
sikat demo moral,0,Sikat aja pak itu demo tidak bermoral
anarkis gampang perintah tinggal ikut rakyat,1,"Kalau tidak mau anarkis gampang, pemerintah tinggal mengikuti saja mau dari rakyat"
