text,sentiment,original_text
mantap mahasiswa maju kasih ampun,1,mantp mahasiswa maju truuus jangan kasi ampun bapak2 itu
gara gara bbm,0,Itu gara&quot; bbm naik
ya allah harga bbm liter ribu rakyat lapar cari makan susah ya allah,0,Gimna ni Y Allah Harga BBm perliter jdi12 ribu..Rakyak pada kelaparan..cari buat makan aja udah susah..Gimna ni Y Allah
kasihan anak anak mahasiswa anak anak sekolah tambah beban derita tanggung orang tua makan sulit tolong jokowi bijaksana percaya rakyat pilih presiden indonesia,0,"Kasihan anak2 mahasiswa dan anak2 yg masih sekolah... Menambah lagi beban penderitaan yg di tanggung dari orng tua mereka.. dan untuk makan sehari - hari saja sdh sangat susah ,, tolong lah pak Jokowi kebijaksanaan bapak bagaimana selaku kepercayaan dari rakyat yg sdh memilih bapak sebagai presiden Indonesia 🙏 ."
diam jalan kaki demo nama gerak jalan acara an demo ya mesti koar adik keributanya lumrah orang ramai nama tuntut rakyat,0,"kalau diem aje sambil jalan kaki itu bukan demo namanya,, tu gerak jalan acara 17 an.. demo ya mesti koar&quot; ade keributanya itu dh lumrah org ramai looo..namanya tuntutan rakyat"
izin diri usaha sanggup gaji sesuai umk bbm gaji karyawan umk inibbm gaji karyawan umkklo buruhrakyat tertekanmerekalah menjeritmungkin usaha tutup bijak usaha tutup kelola negara gaji sesuai umk,0,"Jangan beri ijin berdiri jika perusahaan tidak sanggup gaji sesuai umk, jika bbm naik gaji karyawan umk tak masalah, ini<br>bbm naik tapi gaji karyawan masih banyak dibawah umk,<br>Klo begini terus buruh/rakyat kecil yg tertekan.Merekalah yg menjerit.<br>Mungkin banyak perusahaan yg akan tutup dengan kebijakan itu, tapi tak masalah nanti perusahaan yg tutup bisa dikelola negara yg bisa menggaji sesuai umk."
tolong perintah pura pura tuli dengar amp permintan rakyat rakyat jerit amp cekik beban ekonomi berat era jokowi,0,"Tolong pemerintah jangan pura2 tuli dengarkanlah keinginan &amp; permintan rakyat, skrg Rakyat sedang menjerit &amp; tercekik, beban ekonomi semakin berat di era jokowi."
hidup mahasiswa hidup buruh juang,1,Hidup mahasiswa ✊ hidup buruh ✊.... lanjutkan perjuanganmu 💪
request bbm sampah daun plastik minimal,1,Request cara membuat bbm dari sampah daun atau plastik dong min 🙏.
negara demokrasi rusak fasilitas publik marah bbm tertib solusi amarah presiden jokowi kabinet profesional rakyat harga bbm otomatis bahan pokok miris negara kayak sumber minyak alam kosong bbm kota balikpapan kota minyaak,1,Kita negara demokrasi tp jgn merusak fasilitas publik semua pasti marah BBM naik .sampaikan dengan tertib tak ada solusi nya dengan amarah sampaikan dengan bpk presiden pak Jokowi bagaimana kabinet Anda tak pro rakyat harga BBM naik otomatis semua bahan pokok naik yg sangat miris negara kita kaya sumber minyak alam    knp jd kosong BBM .. KOTA BALIKPAPAN KOTA MINYAAK
demo sopir angkot ya,1,Demo para sopir angkot ya
pilih presiden jakarta presiden jakarta sejahtera rakyat presiden jakarta harga bbm,0,"jangan pilih presiden jakarta, presiden jakarta tidak bisa mensejahterakan rakyat, presiden jakarta menaikkan harga BBM"
lawan saudara masyarat oknum nya,1,"Lawan terus sodara, masih bnyk masyarat drpd oknum ny"
bubar dprmprtk da guna habis duit anggaranrevolusirevolusi,0,BUBARKAN DPR....MPR..TK DA GUNANYA CUMA HABISIN DUIT ANGGARAN....!!!!!<br><br>REVOLUSI<br><br>REVOLUSI
cabut bbm,0,Cabut kenaikan BBM
doa juang moga sukses hancurkannn,1,Doaku bersamamu yg berjuang semoga sukses hancurkannn
maaf cerita umur jaman presiden soeharto jaman jokowi jaman jokowi anggap tani orang tua tani zaman suharto murah keluarga gak beli makan gak mampusepeda motor murah bbm murah angkot jarang sepeda ontel kendara era jokowi mahal bbm mahal beli sepeda motor walapun kredit beli inti gak munafik umur nasihat anak anak beda kasihan anak anak khusus mahasiswa demo jilid jilid gunanyayg bela gak juang,1,"maaf sebelumnya bercerita sedikit, umur saya sekarang 46 tahun, Pada jamannya Presiden Soeharto sampai jamannya Jokowi , yg saya rasakan jamannya Jokowi lah saya anggap saya mampu, saya seorang petani orang tua saya pun dulu juga petani tapi di jaman Suharto apa2 murah tapi kita sekeluarga gk mampu beli kalau buat makan cukup tapi untuk lebih dari itu kami gk mampu.sepeda motor murah , BBM murah tapi tetap aja kami naik angkot, itupun jarang ada lewat, sepeda ontel lah yg bisa buat berkendara..sekarang Era Jokowi bisa di katakan Apa2 mahal BBM mahal tapi saya bisa Beli Sepeda motor punya lebih dari 1 walapun bisanya lewat cridit, tapi saya bisa punya, mampu juga beli, jadi intinya gk usah munafik, jadi kita yg sudah berumur 40 th ke atas berilah nasihat ke anak2 kita bahwa banyak perbedaan dulu dengan sekarang sekarng itu lebih baik daripada yg terdahulu, kasian anak2 khususnya mahasiswa Berdemo berjilid jilid buat apa gak ada gunanya,yg di bela siapa,, 😭 gk ada yg di perjuangkan apa tetap juga gak ada 😭"
kendara tenaga listrik,1,Sudah saatnya menggunskan kendaraan bertenaga listrik.
bicara kberatan bbm suka perintah jokowi minggat indonesia ukraina biar santap rudal kake putinlemes,0,Tidak usah banyak bicara yang kberatan ke naikan bbm ato tidak suka kpemerintahan pak jokowi minggat saja dri indonesia ke ukraina aja tuh biar jdi santapan rudal kake putin🤣lemes klian smua 🤣
bangga jokow jokowi satu bangsa sabang maroke sebentar kumpul daerah kumpul sungguh jokowi,1,"Saya bangga dengan pak jokow,pak jokowi adalah bapak persatuan bangsa dari sabang sampai maroke sebentar saja bisa kumpul di seluruh daerah sekarang kumpul sungguh luar biasa pak jokowi"
polisi gak demo tolak bbm enak gaji umrsodara ipar kake mantu mertua sulit kasihan isi bensin mana mana mahal pikir orang pikirin perut,0,Knp polisi gk ikut demo jg tolak bbm naik.. km enak gaji umr.<br>Sodara2 ipar kake mantu mertua km klo susah kasian isi bensin buat kmna2 mahal..pikirin orang lain jgn pikirin perut sendiri.
perintah rakyat main main sma rakyat perintah bakar ran hancur kota,0,Ini lah mau nya pemerintah sama rakyat nya Jagan main2 SMA rakyat nya pemerintah jika tetap begini akan ada bakar besar2 RAN nati hancur lah kotanya masing2
ribut ribut,0,Sudah apa jadi dong ribut ribut
demo damai demo anarkis etika sopan santun aspirasi sopan wibawa lihat publik,0,"demo it damai bukan demo yg  anarkis  dan tak ada etika sopan santun sama skli ,sampaikan aspirasi yg sopan dan wibawa agar elok di lihat oleh publik"
mantap pantang mundur hasil,1,"Mantab ,pantang mundur sebelum ada hasil"
keluarga pilih jokowi keluarga partai usung pro rakyat tolong jokowi dengar suara rakyat henti anggar proyek cepat jakarta bandung harga bbm kecewa,0,"Saya dan keluarga saya tidak akan memilih Pak Jokowi dan keluarganya lagi bahkan Partai yang mengusungnya karena menurut saya sudah tidak Pro Rakyat lagi ☹️ <br>Tolong Pak Jokowi, dengarkan suara rakyatmu.. Lebih baik hentikan saja Anggaran Proyek Cepat Jakarta - Bandung daripada harus menaikkan Harga BBM. Kami sangat kecewa."
perintah gak biat rakyat sengsara,1,Pemerintah itu gk mungkin mau berbiat rakyat sengkara
mahasiswa islam anarkis,0,Mahasiswa Islam koq anarkis
ya perintah bbm gratis aja udara bersihoksigen bayar,0,"Yaudah Buat Pemerintah BBM Di Gratisan Aja, Asalkan Udara Bersih+oksigen Harus Bayar"
juang bbm lihat,0,Hanya mereka berjuang untuk BBM tapi yang lain mampu lihat aja..🤦‍♂
harga bensin subsidi rang subsidi mangkas harga bensin pertalite perintah terus subsidi perintah alami bangkrut polusi udara lebar jalan gusur makan biaya miliar triliun subsidi bbm,0,"Ini masalahnya bukan harga bensin, tapi subsidi yang dikurangi. Subsidi sebenarnya adalah pemangkasan harga bensin yang sebenarnya 17.000 menjadi 10.000 untuk pertalite, jika pemerintah terus menerus memberikan subsidi, pemerintah bisa mengalami kebangkrutan, belum ditambah polusi udara, pelebaran jalan dan pergusuran yang bisa memakan biaya miliaran bahkan trilunan, yang awalnya dari subsidi bbm."
asik demo panjang lndonisia aman damai,0,Sejak dulu hingga sekarang asyik demo memanjang gimana lndonisia hendak aman damai
ayo rakyat satu perintah turun bbm,1,Ayolah rakyat bersatu.. buat pemerintah turunkan bbm
kdna demo salah perintah pikir rakyat demo,1,kdna ada demo krna kesalah sypa..klo pemerinta memikirkan rakyat kecil  tdk akan ada demo
orang awam suka demo harga bbm mahasiswa orang pintar pintar sekolah orang pintar memggunakan otot otak anarkis wakil rakyat sedikit rusa,0,"Saya orang awam saya suka demo apa lg masalah kenaikan harga bbm. Mahasiswa org pintar2 karena mereka sekolah apakah org yg pintar memggunakan otot bukan otak,,,, yg anarkis tidak mewakili rakyat sedikitpun tp malah membuat kerusakan."
khianat bangsa bbm kondisi inimaju maha siswa,1,Hanya penghianat bangsa yg menaikan bbm di saat kondisi saat ini...maju terus maha siswa
cebong dukung demo,1,Cebong seketika mendukung pendemo..
projo kemarin teriak teriak mahasewa,0,Mana projo yg kemarin teriak2 mahasewa??
mahasiswa sungguh berani bela penting rakyatmemperjuangkan sejahtera rakyat pikir hati mulia moga sehat makmur allah amin,1,"Ini lah mahasiswa yg sesungguhnya.. berani membela kepentingan rakyat,memperjuangkan kesejahteraan rakyat.. dan mempunyai pikiran dan hati yg mulia.. semoga kesehatan dan kemakmuran selalu di berikan Allah ke pada kalian.. amin"
jajah perintah,0,dijajah pemerintah sndiri 😔😒
turut harga aneh pertalite ron subsidi harga ribu pertama nona subsidi ron harga pertama perintah ngaturquot harganyalalu anggar aman demo contoh aksi demo capai miliar bayang demo dimanaquot daerah biaya pengamanannyapemerintah suka duit pakai aman demo subsidi bbmdi alih bantu blt bantu rawan korupsi hitungquot ribu perharibe pintar kibulinmohon maaf puan harap rakyat pilih,0,"Menurutku harganya aneh pertalite ron 90 jika tidak di subsidi harganya 17rb, sedangkan pertamax non subsidi ron 92 harganya 14.500 dan pertamax juga pemerintah ikut ngatur&quot; harganya.<br>Lalu anggaran untuk pengamanan demo kan tidak sedikit contoh aja aksi demo 212 itu mencapai 76 miliar dan sekarang bayangkan demo di dimana&quot; dan berbagai daerah berapa tuh biaya pengamanannya<br>Pemerintah lebih suka duitnya di pakai untuk pengamanan demo daripada di gunakan untuk mensubsidi bbm<br>Di alihkan bantuan BLT? Bantuan seperti itu rawan sekali di korupsi dan itupun di hitung&quot; hanya 5rb perhari<br>Be smart ajalah jangan mau di kibulin<br>Mohon maaf ibu puan jangan harap rakyat memilih anda"
jok jokluh presiden susah rakyat bikin pimpin loh,0,"Jok jok,Luh jd presiden nyusahin rakyat trs dan bkin mslh trs kepemimpinan loh."
reseh ya kasihan anak anak sekolah ribu ramai indonesia murah dunia mass indonesia gak bangkrut orang indonesia usa numpang cari makan tolong keluarga kmp gak amerika rupiah harga benson ribu liter,1,Reseh amat yah kasian anak anak sekolah cuma naik jadi 10rb ajah rame amat Indonesia paling murah tau seluruh dunia naik terus mass Indonesia ga naik bangkrut dong . Aku orang Indonesia yg ada di USA lagi numpang nyari makan bisa nolongin kluarga juga yg di kmp tau ga di Amerika kalau di rupiah kan harga Benson 60rb per liter
presiden kasih harga ribu perliterpertalitegmn tuju,1,Kl gue presiden.. gue kasih harga 6rb perliter....pertalite....<br><br>Gmn ? Setuju
bbm uang biar bayar utang triliun xan milu pakai uang triulun xan rusuh bbm presiden omong kosong bukti demo rusuh tim sulit dikit sila jworg bantu selamat ajar rendah hati iman allah yehuwa bantu selamat,0,bbm naik utk apa? utk uang biaa bayar utang 7000triulum xan 2024 memilu pake uang brp triulun xan rusuh krn bbm naik tidak betul  presiden omong kosong.... bukti dah naik demo rusuh <br>2tim 3:1-5 makin kesukitan  waktu dikit maslah besar <br><br>klo maubtahu waktu dikit?? silahkan JWORG  Dibantu kita bisa selamat... pelajar bagaimana rendah hati iman allah Yehuwa bantu selamat????
bbm istana,0,Bbm naik ke istana
hancur perintah zalim,0,Hancurkan pemerintah dzolim ...
mahasiswa suram laku,0,Mahasiswa dengan masa depan suram kelakuannya jg begitu....
subsidi maju negara,0,Mau nya disupsidi terus gemana mau maju negara
ayo mahasiswa rakyat dukung mu bangsa rakyat jerit butuh aksi mu elite kuasa wenang kuasa,1,"ayo mahasiswa rakyat mendukung mu, bangsa dan rakyat ini yang menjerit  membutuhkan  aksi mu, supaya para elit penguasa tidak sewenang berkuasa"
salah bbm rakyat demo bagi blt ambil,0,"Enta siapa yg salah, BBM naik rakyat demo,  waktu pembagian  BLT kok di ambil"
bbm sepeda sehat alhamdulillah,1,BBM naik gapapa. Kan aku naik sepeda lebih sehat. Alhamdulillah
bbm turun jokowi turun,1,BBM TURUN KALO JKW TURUN
polisi pasang kawat duri aparat tegak hukum kawal mahasiswa aspirasi benteng halang gerak mahasiswa maju mahasiswa pemuda,1,Ngapain pihak kepolisian pasang kawat duri segala. Cukup saja sebagai aparat penegak hukum kawal saja mahasiswa untuk menyampaikan aspirasi bukan jadi benteng untuk menghalangi gerakan mahasiswa. <br>Maju terus mahasiswa dan pemuda✊
bela rakyat,1,Mereka membela... rakyat kecil😭😭😭😭😭😭😭😭
mahasiswa,1,Saya pihak d mahasiswa
harga bbm harga ojek rp kilo meter,0,"HARGA BBM NAIK MAKA HARGA OJEK NAIK RP 20000 PER SATU KILO METER ,,"
harga bbm harga angkot harga taksi rp kilo meter hitung kilo meter,0,"HARGA BBM NAIK MAKA HARGA ANGKOT DAN HARGA TAKSI NAIK , RP 20000 PER SATU KILO METER ,, HITUNG KILO METER ,,"
demo sekolah,0,Demo ngga di rewes..percuma. ..sekolah tinggi😭😭😭😭😭
indonesia ubah menteri ganti biar indonesia maju,1,INDONESIA bisa berubah kalau semua Mentri harus di ganti biar Indonesia bisa maju
polisi ya kam demo,0,"polisi ya buat apa byk gitu,  g bsa mengaman kan pendemo"
negara maju kemarin kemarin bilang indonesia tinggal negara asean bbm rusuh jadi,0,"Kata nya negara udh maju, kemarin2 dibilang udh jauh indo tinggalin negara asean yg lain...skrg gimana bbm naik rusuh juga jadian"
ya allah lindung mahasiswa amin,1,Ya allah lindungih para mahasiswa .amin🙏🙏
pimpin negara konoha hebatbisa bohong bohong tutup bohong hebat negara konoha rataquot tingkat cerdas geming warga,0,Pemimpin negera konoha jauh lebih hebat<br>Bisa buat kebohongan dan kebohongan lainnya hanya untuk menutup kebohongan yg 1 itu 😂😂<br>Memang hebat negara konoha itu di atas rata&quot; IQ hokagenya sampe gak bisa bergeming warganya 😂😂
demo anarkis,1,demo jangananarkis
hapus pensiun dewan wakil rakyat hapus pensiun asnhapus batal anggar guna itualihkan infrastruktur belanja barang guna,0,Hapus pensiun dpr! <br>Kalo perlu hapus pensiun  asn.<br>Hapus atau batalkan semua anggaran tak berguna itu!<br>Alihkan ke infrastruktur! <br>Atau buat blanja barang yg lebih berguna!
gabung istana demo,1,Gabung jadi satu ke istana para pendemo sudah cukup itu untuk....
hati hati orang quotyg suka nasi bungkus sponsor demo awas aparat tinggal tunggu apes bukti tangis jeblos penjara hidup,0,"Hati,... Hati,  orang &quot;yg suka  memberi nasi bungkusi, sponsori demo, kalian  dalam pengawasan aparat tinggal tunggu waktu apes kalian, terbukti Jangan nangis bila dijebloskan kepenjara, sia, sia, dlm hidupmu. tahu."
hapus pensiun dpr beban apbn gara gara bbm rakyat sengsara anak sekolah ribu ongkos parah egois gak peduli rakyat kerja sulit bbm,0,Hapus kan pensiunan dpr <br>Membebani apbn <br>Gara bbm naek rakyat sllu sengsara biasa nya anak saya sekolah cukup 10 ribu sekrang gak cukup ongkos nya terlalu besar  makin parah egois ni yang atas nya gk ada peduli sma rakyat udah mah kerjaan susah nambah lagi bbm naek
mahasiswa sih ajar kampus sih paham paham kali kali apbn subsidi bbm lampau anggar apbn harga bbm sesuai dana apbn subsidi bbm jangkau hadeeeuuhhh mahasiswa oh mahasiswa,0,Wahai mahasiswa...  apa sih yang anda pelajari di kampus anda?  <br><br>Masa sich gak paham-paham sudah berkali-kali dijelaskan APBN untuk subsidi  BBM sudah hampir melampaui anggaran APBN sehingga harga BBM  harus  disesuaikan agar dana APBN untuk subsidi BBM bisa tetap terjangkau.  <br><br><br>Hadeeeuuhhh...  <br><br>Mahasiswa oh mahasiswa...
telatttkenapa suruh mahasiswa demo resmi naikkemaren isu resmi,0,"TELATTT,kenapa baru sekarang nyuruh mahasiswa demo setelah sudah diresmikan naik?!<br>kemaren pas masih isu dan belum diresmikan pada kemana..??"
turun gaji menteri dpr ri hapus pensiun dpr ri jabat hapus dana prakerja program keluarga harap dana desa seleweng sasar,0,"Turunkan gaji menteri, dpr ri, hapus pensiunan dpr ri dan pejabat lainnya. Hapus dana prakerja, pkh, dana desa. Semua diselewengkan tidak tepat sasaran"
indonesia jabat jahat jabat penghisap darah rakyat istana neraka jahanam sungguh jakarta pusat,0,Di Indonesia Pejabat dan penjahat sama pejabat penghisap darah Rakyat Istana Neraka Jahanam sungguh amat besar di Jakarta pusat.  👉👹👉👺
salah harga bbm ya belikalau berat harga bbm mahal beli cari solusi,1,"Saya tidak pernah mempersalahkan harga Bbm. kalau kita perlu ya harus beli.<br>Kalau merasa berat dengan harga bbm yg mahal, jgn dibeli, cari solusi yg lain.."
personil polri emosional kendali korban coba aman damai rakyat indonesia musuh jahat rakyat butuh adil sosial indonesia harga bbm bantu rakyat rakyat sapi perah boneka mati rakyat satu padu sabang merauke suara indonesia tolak harga bbm cepat presiden umum turun harga bbm,1,"kepada personil polri jangan emosional dan kendalikan diri jangan sampai ada korban, coba mengamankan dengan damai , rakyat Indonesia bukan.musuh atau penjahat, rakyat butuh keadilan sosial seluruh Indonesia, dengan tidak menaikkan harga BBM, itu sudah membantu rakyat, ingin rakyat bukan hanya sapi perahan atau boneka mati, rakyat bersatu padu dari Sabang sampai Merauke untuk  satu suara seluruh Indonesia menolak kenaikan harga BBM , segera secepatnya presiden umumkan menurunkan harga BBM seperti semula"
polisi nmbak gas air matatolong balas budi lempar telur busukbiar kapok,1,Klau polisi nmbak gas air mata..tolong blas budii lmpar telur busuk...biar kpok tau rsanya dia...
aparat represif mahasiswa demo o jokowi paksa bbm kasih turun bbm perintah mundur obcuma bikin sulit eakyat,0,Aparat jngn represif mahasiswa dem o  bnar sekali karena Jokowi memksakan naikan BBM ksih turun BBM atau pemerintah mundur saja kl obcuma bikin susah eakyat
gak urus negara gak sadar sadar mundur,0,Gk mampu ngurus negara ko gk sadar2...mundurlah ...
demo harga bbm jumlah daerah laku mahasiswa warna ricuh coba mahasiswa renung juang penting rakyat penting politik harga bbm uras uang negara negara subsidi harga bbm putus perintah harga bbm mata subsidi bbm bengkak belanja perintah pada tutup harga bbm dana pensiun anggota dpr juang dpr hapus dana pensiun anggota dpr manfaat rakyat bakti anggota dpr nikmat dana pensiun umur hidup umur hidup loh syukur syukur dpr kenan kurang sekian gaji tunjang elegan demo laku mahasiswa laku berfikir cerdas mudah tunggang kelompok agenda busuk penting gerak dukung rakyat oke,1,Demo kenaikan harga BBM disejumlah daerah yang dilakukan mahasiswa hampir semuanya diwarnai kericuhan. Dalam hal ini coba para mahasiswa renungkan sebenarnya yang kalian perjuangkan itu untuk kepentingan rakyat banyak atau kepentingan politik..? Kenaikan harga BBM jelas jelas menguras keuangan negara karena Negara selama ini mensubsidi harga BBM tsb. Jadi keputusan Pemerintah untuk menaikan harga BBM semata mata dikarenakan bila tidak dinaikan maka subsidi untuk BBM tsb semakin membengkak. Sebenarnya ada belanja pemerintah yang jumlahnya cukup memadai untuk menutup agar harga BBM tidak naik yaitu dana pensiun anggota DPR. Kenapa bukan itu yang kalian perjuangkan agar DPR mau menghapus dana pensiun anggota DPR yang jelas jelas kurang bermanfaat bagi rakyat banyak mengingat masa bakti mereka yang hanya 5 tahun tapi setelah tidak lagi menjadi anggota DPR menikmati dana pensiun seumur hidupnya. Ingat seumur hidupnya lho. Syukur syukur DPR juga berkenan mengurangi sekian % dari gaji dan tunjangan lainnya yang jumlahnyapun cukup besar. Bukankah hal itu jauh lebih elegan daripada demo yang selama ini kalian lakukan dan bila hal itu yang mahasiswa lakukan selain kalian berfikir cerdas juga tidak mudah ditunggangi kelompok yang punya agenda busuk untuk kepentingan mereka sendiri. Dan sudah pasti gerakan kalian didukung rakyat. Oke..?
kuliah aparat tegak hukum urus bbm,0,Mau kuliah aph mau ngurusin BBM
sopir angkot mogok makan kasihan keluarga,0,Supir  angkot  klo  mogok  kelamaan  maw  makan  apa  kalian  kasihan  keluarga mu  .
nikmat subsidi sadar dunia sembako gak kayak kerbau edaann,0,"Para penikmat subsidi,ga sadarrr,semua sluruh duniaa sembakoo aja naekk ga elinggg kaya kerbauu edaann"
laa anggota dpr mana pilih anggota dprpemilu almarhum gusdur dpr kayak anak tkhehehe,0,laa angota DPR. kemana.makanya jg milih anggota Dpr.pemilu nanti. bener kata alm Gusdur. dpr kaya anak TK....he...he...he...
hidup mahasiswa,1,Hidup mahasiswa
bagus wahasiswa,1,Bagus wahasiswa
pindah negara,0,Pindah NEGARA AJA KITA
astagfirullohsmga jokowi badan periksa uang polisi lindung allah swt,1,"Astagfirulloh!!<br>Smga pak Jokowi dan BPK polisi sellu dlm lindungan Alloh SWT,, 🤲🤲🤲"
timor leste harga pertalite dolar tara harga solar dolar tara harga butuh demo malu otak subsidi mental gratis malu,0,"Di Timor Leste, harga Pertalite $ 1.46  (setara 21.000) dan harga solar $ 1.80 (setara 27.000)  dan harga kebutuhan naik, tapi mereka gak berdemo. kalian MEMALUKAN... OTAK SUBSIDI. MENTAL GRATIS, MEMALUKAN!!!!!!!!!!!"
juang rakyat turun bbm biar rakyat siksa ya entah berjuwalan bbm rakyat butuh bbm m peras rakyat,1,Lanjutkan pejuang rakyat kecil..turunkan BBM biar rakyat tidak tersiksa ..kog bisa ya pemerentah berjuwalan BBM tau kalau rakyat sangat membutuhkan BBM ..itu sama juga m we memeras rakyat...
parah perintah sengsara rakyat bbm naik simpati perintah sulit rakyat,0,Parah. Memang pemerintah  tdk melihat kesengsaraan rakyat BBM dinaikan.  Saya  tidak  simpati pada. Pemerintah yg sll mempersulit rakyat
kasih demo alias rom kampus aparat hitung orang ta demo aman otk khawatir yangsaya sebut maklum musim pem balas hasil buat an maksud tuju niat seka rang ubah si fat tingkah pola pimpin republik indonesia kota negara daerah sadar kitab al quran paham bravo allah hu akbar ya mujiibu,0,"Saya kasih tahu! jika kalian demo alias rom bongan dari Kampus serta Aparat hitung orangnya serta anggo ta yg ikut demo dan mengamankannya apa mau OTK!? itu,soalnya saya kuatir ada saja yang......(saya tdk bisa sebutkan hal itu?!) maklum musim pem balasan hasil perbuat an,maksud,tujujun,niat nya dulu hingga seka rang yg tdk berubah si fat tingkah polanya pd thn ini dan seterusnya para Pemimpin RI dari Kota Negara sampai Daerah tanpa mereka sadari yg telah di jelas kan di dalam kitab Al-Qur&#39;an paham! bravo! Allaah Hu Akbar Yaa Mujiibu"
joko tingkir dawetpresiden gak pikir rakyat ruwet,0,Joko tingkir ngumbe dawet.<br>Presiden ga mikir rakyat ruwet.
demokrasi demo keras,1,"DEMOKRASI , yg demo di kerasi..."
tunggu angkat kemarin turun rakyat sengsara turun demo pahlawan konten payah,1,"sy hanya mau tunggu semua angkatan 98 sy kmrn dl untuk turun, sbb itulah d saat rakyat bnr&quot; sengsara. jika belum turun, kalian&quot; skrg&quot; yg demo hanyalah Pahlawan Konten. Payah"
presiden turun harga bbm,1,sudah presiden menurunkan harga BBM seperti semula
moga kuasa zalim azab allah swt amin,1,Semoga penguasa zalim segera diberi azab oleh Allah swt Aamiin
